Monitoring started on: ernie
--------------------------------------------------------
Timestamp           | %CPU    | Memory (GB)  | GPU Usage
--------------------------------------------------------
2025-12-15 15:09:57 | 6.1     | 0.01        
2025-12-15 15:10:58 | 3.6     | 0.31        
2025-12-15 15:11:59 | 3.9     | 0.40        
2025-12-15 15:12:59 | 3.8     | 0.44        
2025-12-15 15:14:00 | 3.7     | 0.50        
2025-12-15 15:15:01 | 6.1     | 1.00         | GPU Slot: 1 | Mem:   0.29 GB | GPU Utilization:   0% | Processes:  1
2025-12-15 15:16:01 | 8.8     | 1.70         | GPU Slot: 1 | Mem:   0.65 GB | GPU Utilization:   0% | Processes:  1
2025-12-15 15:17:02 | 12      | 1.84         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  60% | Processes:  1
2025-12-15 15:18:03 | 18.2    | 1.85         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  52% | Processes:  1
2025-12-15 15:19:03 | 23.3    | 1.85         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  68% | Processes:  1
2025-12-15 15:20:04 | 27.3    | 1.85         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  74% | Processes:  1
2025-12-15 15:21:05 | 32      | 1.85         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  92% | Processes:  1
2025-12-15 15:22:06 | 35.5    | 1.85         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  36% | Processes:  1
2025-12-15 15:23:06 | 38.5    | 1.85         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  42% | Processes:  1
2025-12-15 15:24:07 | 40.9    | 1.85         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  74% | Processes:  1
2025-12-15 15:25:08 | 43.4    | 1.85         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  78% | Processes:  1
2025-12-15 15:26:09 | 45.6    | 1.85         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  63% | Processes:  1
2025-12-15 15:27:10 | 47.2    | 1.85         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  74% | Processes:  1
2025-12-15 15:28:10 | 48.8    | 1.85         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  66% | Processes:  1
2025-12-15 15:29:11 | 50.2    | 1.85         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  91% | Processes:  1
2025-12-15 15:30:12 | 51.3    | 1.85         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  24% | Processes:  1
2025-12-15 15:31:12 | 52.3    | 1.85         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  53% | Processes:  1
2025-12-15 15:32:13 | 52.8    | 1.85         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  73% | Processes:  1
2025-12-15 15:33:14 | 52.9    | 1.62         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  64% | Processes:  1
2025-12-15 15:34:15 | 53.2    | 1.63         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  63% | Processes:  1
2025-12-15 15:35:15 | 53.7    | 1.63         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  70% | Processes:  1
2025-12-15 15:36:16 | 54.1    | 1.63         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  60% | Processes:  1
2025-12-15 15:37:17 | 54.5    | 1.63         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  60% | Processes:  1
2025-12-15 15:38:18 | 54.7    | 1.63         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  34% | Processes:  1
2025-12-15 15:39:20 | 54.7    | 1.63         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:   0% | Processes:  1
2025-12-15 15:40:22 | 54.5    | 1.63         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:   0% | Processes:  1
2025-12-15 15:41:22 | 55.5    | 1.69         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  92% | Processes:  1
2025-12-15 15:42:23 | 55.9    | 1.69         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  92% | Processes:  1
2025-12-15 15:43:24 | 56.9    | 1.69         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  91% | Processes:  1
2025-12-15 15:44:24 | 57.9    | 1.69         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  89% | Processes:  1
2025-12-15 15:45:25 | 59      | 1.69         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  95% | Processes:  1
2025-12-15 15:46:26 | 60.1    | 1.69         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  92% | Processes:  1
2025-12-15 15:47:26 | 61      | 1.69         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  90% | Processes:  1
2025-12-15 15:48:27 | 61.9    | 1.69         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  92% | Processes:  1
2025-12-15 15:49:28 | 62.7    | 1.69         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  89% | Processes:  1
2025-12-15 15:50:28 | 63.5    | 1.69         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  89% | Processes:  1
2025-12-15 15:51:29 | 64.1    | 1.69         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  88% | Processes:  1
2025-12-15 15:52:30 | 64.6    | 1.69         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  91% | Processes:  1
2025-12-15 15:53:31 | 65.3    | 1.69         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  82% | Processes:  1
2025-12-15 15:54:31 | 65.7    | 1.69         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  87% | Processes:  1
2025-12-15 15:55:32 | 66.4    | 1.69         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  85% | Processes:  1
2025-12-15 15:56:33 | 66.9    | 1.69         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  87% | Processes:  1
2025-12-15 15:57:34 | 67.4    | 1.69         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  92% | Processes:  1
